,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,5,3,66.666666666666,0,-28.571428571428,-84.848484848484
2,Rape,,2,0.0,***.*,4.0,1,300,13,10,30,18.181818181818,44.444444444444,-53.571428571428
3,Robbery,,1,3.0,-66.666666666666,11.0,20,-45,76,89,-14.606741573033,-22.448979591836,-23.232323232323,-91.748099891422
4,Fel. Assault,,7,7.0,0,33.0,35,-5.714285714285,141,180,-21.666666666666,-5.369127516778,11.023622047244,-70.807453416149
5,Burglary,,1,5.0,-80,5.0,20,-75,53,75,-29.333333333333,-39.772727272727,-53.91304347826,-92.71978021978
6,Gr. Larceny,,10,6.0,66.666666666666,29.0,36,-19.444444444444,160,189,-15.343915343915,-10.112359550561,39.130434782608,-34.156378600823
7,G.L.A.,,1,9.0,-88.888888888888,6.0,14,-57.142857142857,35,71,-50.704225352112,-28.571428571428,-39.655172413793,-90.02849002849
8,TOTAL,,22,30.0,-26.666666666666,88.0,126,-30.15873015873,483,617,-21.717990275526,-16.435986159169,-8.867924528301,-82.669537136706
9,Transit,,0,1.0,-100,0.0,3,-100,8,12,-33.333333333333,-52.941176470588,-46.666666666666,***.*
10,Housing,,1,3.0,-66.666666666666,10.0,13,-23.076923076923,44,64,-31.25,-13.725490196078,41.935483870967,***.*
11,Petit Larceny,,7,14.0,-50,56.0,50,12,301,316,-4.746835443037,-25.31017369727,-12.753623188405,***.*
12,Retail Theft,,2,4.0,-50,12.0,12,0,58,41,41.463414634146,41.463414634146,***.*,***.*
13,Misd. Assault,,15,12.0,25,49.0,44,11.363636363636,200,259,-22.779922779922,-10.313901345291,-42.69340974212,***.*
14,UCR Rape*,,3,0.0,***.*,7.0,2,250,23,12,91.666666666666,0,***.*,***.*
15,Other Sex Crimes,,2,0.0,***.*,4.0,2,100,26,29,-10.344827586206,-43.478260869565,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,5.0,2,150,9,9,0,-18.181818181818,-67.857142857142,-91.588785046729
17,Shooting Inc.,,0,0.0,***.*,4.0,2,100,8,9,-11.111111111111,-11.111111111111,-65.217391304347,-92
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,2,0,***.*,100,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,1.0,0,***.*,2,0,***.*,-33.333333333333,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,70,,82,,9,,19,7,-63.157894736842,-22.222222222222,-91.463414634146,-90
27,Rape,,99,,71,,52,,43,22,-48.837209302325,-57.692307692307,-69.014084507042,-77.777777777777
28,Robbery,,2412,,2202,,772,,487,229,-52.977412731006,-70.336787564766,-89.600363306085,-90.505804311774
29,Fel. Assault,,1307,,1190,,648,,498,418,-16.064257028112,-35.493827160493,-64.873949579831,-68.018362662586
30,Burglary,,2130,,1582,,722,,575,189,-67.130434782608,-73.82271468144,-88.053097345132,-91.12676056338
31,Gr. Larceny,,705,,599,,346,,387,400,3.359173126614,15.606936416185,-33.222036727879,-43.262411347517
32,G.L.A.,,1242,,774,,291,,347,163,-53.025936599423,-43.986254295532,-78.940568475452,-86.876006441223
33,TOTAL,,7965,,6500,,2840,,2356,1428,-39.388794567062,-49.718309859154,-78.030769230769,-82.071563088512
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
