,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,0,2,-100,***.*,-100,-100
2,Rape,,1,0.0,***.*,1.0,1,0,6,5,20,-14.285714285714,0,-45.454545454545
3,Robbery,,8,3.0,166.666666666667,19.0,17,11.764705882352,86,82,4.878048780487,-14,53.571428571428,-85.423728813559
4,Fel. Assault,,3,1.0,200,16.0,11,45.454545454545,80,82,-2.439024390243,11.111111111111,95.121951219512,-40.298507462686
5,Burglary,,4,6.0,-33.333333333333,16.0,14,14.285714285714,103,126,-18.253968253968,0,-12.711864406779,-90.972830850131
6,Gr. Larceny,,33,33.0,0,128.0,142,-9.859154929577,671,709,-5.359661495063,-4.142857142857,26.365348399246,-58.400495970241
7,G.L.A.,,1,3.0,-66.666666666666,6.0,19,-68.421052631578,26,72,-63.888888888888,-64.864864864864,-3.703703703703,-98.273572377158
8,TOTAL,,50,46.0,8.695652173913,186.0,204,-8.823529411764,972,1078,-9.833024118738,-7.954545454545,24.615384615384,-80.552220888355
9,Transit,,3,2.0,50,6.0,3,100,20,21,-4.761904761904,5.263157894736,81.818181818181,***.*
10,Housing,,1,0.0,***.*,3.0,1,200,12,7,71.428571428571,-7.692307692307,-14.285714285714,***.*
11,Petit Larceny,,52,80.0,-35,229.0,284,-19.366197183098,1253,1375,-8.872727272727,-23.317013463892,84.80825958702,***.*
12,Retail Theft,,40,66.0,-39.393939393939,200.0,264,-24.242424242424,1103,1208,-8.692052980132,-27.672131147541,***.*,***.*
13,Misd. Assault,,8,1.0,700,38.0,15,153.333333333333,163,145,12.413793103448,-4.117647058823,3.164556962025,***.*
14,UCR Rape*,,2,0.0,***.*,2.0,4,-50,7,12,-41.666666666666,-30,***.*,***.*
15,Other Sex Crimes,,1,3.0,-66.666666666666,9.0,12,-25,57,47,21.27659574468,50,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,1.0,0,***.*,2,1,100,100,0,0
17,Shooting Inc.,,0,0.0,***.*,1.0,0,***.*,2,1,100,100,0,0
18,Hate Crimes,,1,1.0,0,4.0,2,100,14,6,133.333333333333,0,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,1,1,0,-75,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,9,,5,,6,,1,3,200,-50,-40,-66.666666666666
27,Rape,,27,,30,,17,,9,14,55.555555555555,-17.647058823529,-53.333333333333,-48.148148148148
28,Robbery,,1904,,1378,,459,,359,221,-38.440111420612,-51.851851851851,-83.962264150943,-88.392857142857
29,Fel. Assault,,312,,295,,185,,127,184,44.881889763779,-0.54054054054,-37.627118644067,-41.025641025641
30,Burglary,,3695,,3019,,1028,,701,251,-64.194008559201,-75.583657587548,-91.685988737992,-93.207036535859
31,Gr. Larceny,,5406,,3792,,2167,,2208,1725,-21.875,-20.396862021227,-54.509493670886,-68.091009988901
32,G.L.A.,,3338,,3457,,997,,320,151,-52.8125,-84.854563691073,-95.632050911194,-95.476333133612
33,TOTAL,,14691,,11976,,4859,,3725,2549,-31.570469798657,-47.540646223502,-78.715764863059,-82.649241031924
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
