,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,2,1,100,-33.333333333333,***.*,-33.333333333333
2,Rape,,0,0.0,***.*,1.0,2,-50,3,4,-25,-25,0,-76.923076923076
3,Robbery,,3,3.0,0,8.0,6,33.333333333333,42,54,-22.222222222222,-8.695652173913,-28.813559322033,-87.349397590361
4,Fel. Assault,,3,7.0,-57.142857142857,12.0,18,-33.333333333333,66,84,-21.428571428571,20,312.5,-35.922330097087
5,Burglary,,1,3.0,-66.666666666666,5.0,13,-61.538461538461,48,92,-47.826086956521,-4,-39.240506329113,-84.858044164037
6,Gr. Larceny,,8,11.0,-27.272727272727,38.0,47,-19.148936170212,195,246,-20.731707317073,-15.948275862069,12.068965517241,-2.985074626865
7,G.L.A.,,4,6.0,-33.333333333333,7.0,16,-56.25,58,52,11.538461538461,56.756756756756,65.714285714285,-87.991718426501
8,TOTAL,,19,30.0,-36.666666666666,71.0,102,-30.392156862745,414,533,-22.326454033771,-3.044496487119,13.11475409836,-71.487603305785
9,Transit,,0,1.0,-100,2.0,4,-50,11,12,-8.333333333333,-21.428571428571,-21.428571428571,***.*
10,Housing,,2,2.0,0,3.0,4,-25,10,11,-9.090909090909,11.111111111111,100,***.*
11,Petit Larceny,,30,14.0,114.285714285714,104.0,100,4,490,683,-28.257686676427,-8.921933085501,33.879781420765,***.*
12,Retail Theft,,16,11.0,45.454545454545,67.0,69,-2.898550724637,325,524,-37.977099236641,-21.875,***.*,***.*
13,Misd. Assault,,10,7.0,42.857142857142,34.0,24,41.666666666666,109,132,-17.424242424242,-12.8,23.863636363636,***.*
14,UCR Rape*,,0,0.0,***.*,1.0,3,-66.666666666666,7,8,-12.5,16.666666666666,***.*,***.*
15,Other Sex Crimes,,2,0.0,***.*,8.0,3,166.666666666667,42,17,147.058823529412,82.608695652173,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,0.0,0,***.*,3,1,200,50,200,-50
17,Shooting Inc.,,0,0.0,***.*,0.0,0,***.*,3,1,200,50,200,-50
18,Hate Crimes,,0,0.0,***.*,0.0,1,-100,0,3,-100,-100,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,1,-100,-100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,5,,7,,1,,1,2,100,100,-71.428571428571,-60
27,Rape,,12,,26,,12,,11,10,-9.090909090909,-16.666666666666,-61.538461538461,-16.666666666666
28,Robbery,,1115,,865,,464,,251,124,-50.597609561753,-73.275862068965,-85.664739884393,-88.878923766816
29,Fel. Assault,,251,,268,,158,,108,178,64.814814814814,12.658227848101,-33.582089552238,-29.083665338645
30,Burglary,,1644,,797,,498,,344,181,-47.383720930232,-63.654618473895,-77.289836888331,-88.990267639902
31,Gr. Larceny,,550,,510,,452,,369,553,49.864498644986,22.345132743362,8.431372549019,0.545454545454
32,G.L.A.,,1596,,1034,,370,,244,128,-47.540983606557,-65.405405405405,-87.620889748549,-91.979949874686
33,TOTAL,,5173,,3507,,1955,,1328,1176,-11.44578313253,-39.846547314578,-66.467065868263,-77.266576454668
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
