,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,1,2,-50,-66.666666666666,0,-93.333333333333
2,Rape,,0,0.0,***.*,3.0,2,50,15,12,25,-6.25,36.363636363636,50
3,Robbery,,3,8.0,-62.5,37.0,29,27.586206896551,210,162,29.629629629629,38.157894736842,32.911392405063,-70.212765957446
4,Fel. Assault,,20,20.0,0,76.0,77,-1.298701298701,338,299,13.043478260869,60.95238095238,179.338842975207,79.787234042553
5,Burglary,,2,6.0,-66.666666666666,10.0,16,-37.5,116,96,20.833333333333,56.756756756756,-22.147651006711,-88.627450980392
6,Gr. Larceny,,41,25.0,64,108.0,94,14.893617021276,467,416,12.259615384615,-10.707456978967,104.824561403509,-4.303278688524
7,G.L.A.,,0,6.0,-100,18.0,30,-40,112,128,-12.5,41.772151898734,64.705882352941,-87.692307692307
8,TOTAL,,66,65.0,1.538461538461,252.0,248,1.612903225806,1259,1115,12.914798206278,19.110690633869,71.059782608695,-62.260191846522
9,Transit,,1,2.0,-50,5.0,3,66.666666666666,21,18,16.666666666666,61.538461538461,23.529411764705,***.*
10,Housing,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
11,Petit Larceny,,55,63.0,-12.698412698412,236.0,206,14.563106796116,1419,1215,16.79012345679,39.390962671905,104.761904761905,***.*
12,Retail Theft,,46,50.0,-8,198.0,169,17.159763313609,1149,920,24.891304347826,60.027855153203,***.*,***.*
13,Misd. Assault,,32,20.0,60,123.0,91,35.164835164835,574,475,20.842105263157,62.146892655367,115.789473684211,***.*
14,UCR Rape*,,1,0.0,***.*,6.0,3,100,23,18,27.777777777777,0,***.*,***.*
15,Other Sex Crimes,,3,0.0,***.*,13.0,13,0,52,59,-11.864406779661,8.333333333333,***.*,***.*
16,Shooting Vic.,,1,0.0,***.*,1.0,1,0,1,4,-75,0,-50,-96.428571428571
17,Shooting Inc.,,1,0.0,***.*,1.0,1,0,1,3,-66.666666666666,0,0,-96.153846153846
18,Hate Crimes,,0,0.0,***.*,1.0,2,-50,1,6,-83.333333333333,-75,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,2.0,0,***.*,4,2,100,100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,36,,29,,11,,9,3,-66.666666666666,-72.727272727272,-89.655172413793,-91.666666666666
27,Rape,,42,,34,,27,,44,39,-11.363636363636,44.444444444444,14.705882352941,-7.142857142857
28,Robbery,,1814,,1541,,718,,614,478,-22.14983713355,-33.426183844011,-68.981181051265,-73.649393605292
29,Fel. Assault,,396,,497,,383,,315,734,133.015873015873,91.644908616188,47.686116700201,85.353535353535
30,Burglary,,1976,,2165,,720,,485,189,-61.030927835051,-73.75,-91.270207852194,-90.435222672064
31,Gr. Larceny,,1547,,1280,,665,,605,1075,77.685950413223,61.654135338345,-16.015625,-30.510665804783
32,G.L.A.,,3009,,2302,,814,,493,336,-31.845841784989,-58.722358722358,-85.403996524761,-88.833499501495
33,TOTAL,,8820,,7848,,3338,,2565,2854,11.267056530214,-14.499700419412,-63.634046890927,-67.641723356009
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
