,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,-75,-80,-90.90909090909
2,Rape,,0,2.0,-100,6.0,2,200,14,13,7.692307692307,-6.666666666666,55.555555555555,-51.724137931034
3,Robbery,,11,8.0,37.5,37.0,22,68.181818181818,169,147,14.965986394557,0,-15.92039800995,-75.718390804597
4,Fel. Assault,,13,16.0,-18.75,66.0,53,24.528301886792,310,289,7.266435986159,22.529644268774,129.62962962963,-13.888888888888
5,Burglary,,3,3.0,0,20.0,12,66.666666666666,76,75,1.333333333333,4.109589041095,-32.743362831858,-84.860557768924
6,Gr. Larceny,,12,8.0,50,47.0,48,-2.083333333333,278,243,14.40329218107,11.646586345381,77.070063694267,-44.288577154308
7,G.L.A.,,5,3.0,66.666666666666,13.0,13,0,90,104,-13.461538461538,-21.052631578947,11.111111111111,-85.530546623794
8,TOTAL,,44,40.0,10,189.0,150,26,938,871,7.692307692307,6.955530216647,33.808844507845,-65.5020228025
9,Transit,,0,0.0,***.*,4.0,0,***.*,13,10,30,0,30,***.*
10,Housing,,0,2.0,-100,6.0,5,20,21,17,23.529411764705,-16,10.526315789473,***.*
11,Petit Larceny,,27,32.0,-15.625,131.0,131,0,765,678,12.831858407079,18.23802163833,49.122807017543,***.*
12,Retail Theft,,21,14.0,50,97.0,57,70.175438596491,467,283,65.017667844523,43.692307692307,***.*,***.*
13,Misd. Assault,,26,20.0,30,91.0,77,18.181818181818,437,422,3.554502369668,43.75,25.214899713467,***.*
14,UCR Rape*,,0,2.0,-100,7.0,4,75,21,21,0,-8.695652173913,***.*,***.*
15,Other Sex Crimes,,3,3.0,0,11.0,9,22.222222222222,50,38,31.578947368421,38.888888888888,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,1.0,0,***.*,13,5,160,-7.142857142857,-38.095238095238,-79.365079365079
17,Shooting Inc.,,0,0.0,***.*,1.0,0,***.*,10,5,100,-23.076923076923,-16.666666666666,-83.050847457627
18,Hate Crimes,,0,0.0,***.*,0.0,1,-100,1,4,-75,-83.333333333333,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,2,-100,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,38,,28,,16,,10,2,-80,-87.5,-92.857142857142,-94.736842105263
27,Rape,,60,,74,,45,,27,29,7.407407407407,-35.555555555555,-60.81081081081,-51.666666666666
28,Robbery,,1846,,1742,,751,,530,389,-26.603773584905,-48.202396804261,-77.669345579793,-78.927410617551
29,Fel. Assault,,958,,853,,611,,406,655,61.330049261083,7.201309328968,-23.212192262602,-31.628392484342
30,Burglary,,1592,,1166,,598,,449,165,-63.251670378619,-72.408026755852,-85.849056603773,-89.635678391959
31,Gr. Larceny,,1277,,1214,,578,,587,579,-1.362862010221,0.173010380622,-52.306425041186,-54.659357870007
32,G.L.A.,,1889,,1591,,602,,472,225,-52.330508474576,-62.624584717608,-85.85795097423,-88.088935944944
33,TOTAL,,7660,,6668,,3201,,2481,2044,-17.613865376864,-36.144954701655,-69.346130773845,-73.31592689295
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
