,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,1,-100,1,5,-80,-66.666666666666,-80,-90
2,Rape,,2,0.0,***.*,5.0,1,400,21,18,16.666666666666,5,200,-34.375
3,Robbery,,3,9.0,-66.666666666666,36.0,23,56.521739130434,191,160,19.375,21.656050955414,64.655172413793,-63.339731285988
4,Fel. Assault,,11,11.0,0,52.0,51,1.960784313725,312,268,16.417910447761,13.454545454545,162.18487394958,-25
5,Burglary,,3,3.0,0,20.0,9,122.222222222222,123,83,48.192771084337,-14.583333333333,101.639344262295,-72.787610619469
6,Gr. Larceny,,4,11.0,-63.636363636363,37.0,51,-27.450980392156,243,208,16.826923076923,29.946524064171,161.290322580645,68.75
7,G.L.A.,,11,5.0,120,25.0,24,4.166666666666,114,197,-42.131979695431,-10.9375,132.65306122449,-53.27868852459
8,TOTAL,,34,39.0,-12.820512820512,175.0,160,9.375,1005,939,7.02875399361,9.956236323851,123.333333333333,-44.749862561847
9,Transit,,0,0.0,***.*,1.0,0,***.*,5,5,0,0,-44.444444444444,***.*
10,Housing,,6,4.0,50,38.0,15,153.333333333333,174,168,3.571428571428,9.43396226415,104.705882352941,***.*
11,Petit Larceny,,9,29.0,-68.965517241379,67.0,105,-36.190476190476,467,515,-9.320388349514,-2.708333333333,45.482866043613,***.*
12,Retail Theft,,0,2.0,-100,8.0,17,-52.941176470588,67,106,-36.792452830188,-53.146853146853,***.*,***.*
13,Misd. Assault,,14,24.0,-41.666666666666,76.0,95,-20,385,511,-24.657534246575,-13.092550790067,1.049868766404,***.*
14,UCR Rape*,,2,0.0,***.*,6.0,3,100,29,28,3.571428571428,-3.333333333333,***.*,***.*
15,Other Sex Crimes,,2,3.0,-33.333333333333,7.0,10,-30,39,47,-17.021276595744,25.806451612903,***.*,***.*
16,Shooting Vic.,,0,1.0,-100,4.0,2,100,11,12,-8.333333333333,-21.428571428571,-50,-70.27027027027
17,Shooting Inc.,,0,1.0,-100,4.0,2,100,11,12,-8.333333333333,-15.384615384615,-38.888888888888,-70.27027027027
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,1.0,0,***.*,2,0,***.*,100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,54,,37,,12,,18,12,-33.333333333333,0,-67.567567567567,-77.777777777777
27,Rape,,56,,76,,52,,44,31,-29.545454545454,-40.384615384615,-59.210526315789,-44.642857142857
28,Robbery,,1208,,1293,,572,,339,435,28.318584070796,-23.951048951048,-66.357308584686,-63.990066225165
29,Fel. Assault,,861,,961,,526,,439,711,61.958997722095,35.171102661597,-26.014568158168,-17.421602787456
30,Burglary,,1065,,1100,,443,,355,205,-42.25352112676,-53.72460496614,-81.363636363636,-80.75117370892
31,Gr. Larceny,,382,,363,,210,,211,530,151.184834123223,152.380952380952,46.005509641873,38.743455497382
32,G.L.A.,,798,,475,,221,,239,413,72.803347280334,86.877828054298,-13.052631578947,-48.245614035087
33,TOTAL,,4424,,4305,,2036,,1645,2337,42.066869300911,14.783889980353,-45.714285714285,-47.174502712477
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
