,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,1.0,-100,0.0,1,-100,1,2,-50,-50,-75,-93.75
2,Rape,,0,1.0,-100,2.0,4,-50,14,9,55.555555555555,-6.666666666666,0,-57.575757575757
3,Robbery,,4,11.0,-63.636363636363,26.0,32,-18.75,159,142,11.971830985915,41.964285714285,-8.092485549132,-75.039246467817
4,Fel. Assault,,9,5.0,80,37.0,44,-15.90909090909,191,187,2.139037433155,38.405797101449,31.724137931034,-49.470899470899
5,Burglary,,0,4.0,-100,12.0,12,0,103,90,14.444444444444,-23.134328358209,-27.972027972028,-81.407942238267
6,Gr. Larceny,,7,17.0,-58.823529411764,41.0,58,-29.310344827586,261,307,-14.983713355048,-7.446808510638,112.19512195122,13.973799126637
7,G.L.A.,,4,7.0,-42.857142857142,17.0,18,-5.555555555555,88,78,12.820512820512,0,35.384615384615,-79.582366589327
8,TOTAL,,24,46.0,-47.826086956521,135.0,169,-20.118343195266,817,815,0.245398773006,5.966277561608,22.488755622188,-64.135206321334
9,Transit,,0,0.0,***.*,2.0,2,0,17,13,30.76923076923,183.333333333333,70,***.*
10,Housing,,1,2.0,-50,2.0,6,-66.666666666666,12,19,-36.842105263157,-7.692307692307,140,***.*
11,Petit Larceny,,17,25.0,-32,71.0,91,-21.978021978022,405,425,-4.705882352941,-7.110091743119,32.786885245901,***.*
12,Retail Theft,,4,4.0,0,19.0,14,35.714285714285,97,74,31.081081081081,19.753086419753,***.*,***.*
13,Misd. Assault,,17,13.0,30.76923076923,65.0,61,6.55737704918,292,298,-2.013422818791,11.026615969581,-13.353115727003,***.*
14,UCR Rape*,,0,1.0,-100,3.0,6,-50,21,18,16.666666666666,10.526315789473,***.*,***.*
15,Other Sex Crimes,,3,4.0,-25,9.0,6,50,36,27,33.333333333333,38.461538461538,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,1.0,2,-50,2,5,-60,-66.666666666666,-85.714285714285,-97.701149425287
17,Shooting Inc.,,0,0.0,***.*,1.0,2,-50,2,5,-60,-66.666666666666,-81.818181818181,-97.619047619047
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,-66.666666666666,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,2,0,***.*,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,77,,44,,12,,12,4,-66.666666666666,-66.666666666666,-90.90909090909,-94.805194805194
27,Rape,,80,,62,,46,,57,22,-61.403508771929,-52.173913043478,-64.516129032258,-72.5
28,Robbery,,2242,,1528,,700,,551,388,-29.582577132486,-44.571428571428,-74.607329842931,-82.694023193577
29,Fel. Assault,,1173,,845,,498,,537,473,-11.918063314711,-5.020080321285,-44.023668639053,-59.676044330775
30,Burglary,,1670,,1386,,677,,522,248,-52.490421455938,-63.367799113737,-82.106782106782,-85.149700598802
31,Gr. Larceny,,822,,566,,284,,280,717,156.071428571429,152.464788732394,26.678445229682,-12.773722627737
32,G.L.A.,,1352,,942,,334,,334,234,-29.940119760479,-29.940119760479,-75.159235668789,-82.692307692307
33,TOTAL,,7416,,5373,,2551,,2293,2086,-9.02747492368,-18.228145825166,-61.176251628512,-71.871628910463
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
