,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,1.0,-100,0.0,1,-100,2,2,0,0,-77.777777777777,-75
2,Rape,,0,2.0,-100,2.0,3,-33.333333333333,12,9,33.333333333333,71.428571428571,50,-47.826086956521
3,Robbery,,4,3.0,33.333333333333,11.0,13,-15.384615384615,53,69,-23.188405797101,-29.333333333333,-61.59420289855,-87.587822014051
4,Fel. Assault,,6,21.0,-71.428571428571,28.0,40,-30,193,191,1.047120418848,2.659574468085,53.174603174603,22.151898734177
5,Burglary,,5,2.0,150,13.0,13,0,82,94,-12.765957446808,18.840579710144,-48.427672955974,-88.515406162465
6,Gr. Larceny,,11,10.0,10,41.0,56,-26.785714285714,266,275,-3.272727272727,-1.481481481481,35.714285714285,5.555555555555
7,G.L.A.,,9,5.0,80,43.0,30,43.333333333333,170,141,20.567375886524,66.666666666666,4.294478527607,-88.582941571524
8,TOTAL,,35,44.0,-20.454545454545,138.0,156,-11.538461538461,778,781,-0.384122919334,9.116409537166,-2.628285356695,-74.666232497557
9,Transit,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
10,Housing,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
11,Petit Larceny,,12,22.0,-45.454545454545,81.0,90,-10,505,514,-1.750972762645,-21.826625386996,33.952254641909,***.*
12,Retail Theft,,6,5.0,20,24.0,13,84.615384615384,108,85,27.058823529411,-30.76923076923,***.*,***.*
13,Misd. Assault,,14,12.0,16.666666666666,62.0,55,12.727272727272,305,260,17.307692307692,9.31899641577,8.156028368794,***.*
14,UCR Rape*,,2,2.0,0,5.0,4,25,20,17,17.647058823529,25,***.*,***.*
15,Other Sex Crimes,,1,0.0,***.*,5.0,5,0,26,21,23.809523809523,30,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,0.0,1,-100,6,6,0,-14.285714285714,-72.727272727272,-77.777777777777
17,Shooting Inc.,,0,0.0,***.*,0.0,1,-100,5,5,0,-16.666666666666,-66.666666666666,-80.76923076923
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,2,1,100,***.*,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,1,-100,1,4,-75,-66.666666666666,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,30,,23,,7,,18,2,-88.888888888888,-71.428571428571,-91.304347826087,-93.333333333333
27,Rape,,56,,41,,52,,35,24,-31.428571428571,-53.846153846153,-41.463414634146,-57.142857142857
28,Robbery,,1066,,1082,,557,,395,173,-56.202531645569,-68.940754039497,-84.011090573012,-83.771106941838
29,Fel. Assault,,459,,409,,400,,329,428,30.091185410334,7,4.645476772616,-6.753812636165
30,Burglary,,2199,,1640,,854,,630,234,-62.857142857142,-72.599531615925,-85.731707317073,-89.358799454297
31,Gr. Larceny,,699,,593,,444,,456,685,50.219298245614,54.279279279279,15.514333895446,-2.002861230329
32,G.L.A.,,3534,,3476,,1360,,913,352,-61.44578313253,-74.117647058823,-89.873417721519,-90.039615166949
33,TOTAL,,8043,,7264,,3674,,2776,1898,-31.628242074928,-48.339684267828,-73.871145374449,-76.401840109411
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
