,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,1,-100,1,3,-66.666666666666,0,-75,-50
2,Rape,,1,0.0,***.*,1.0,0,***.*,4,6,-33.333333333333,-63.636363636363,0,-55.555555555555
3,Robbery,,3,3.0,0,12.0,10,20,69,63,9.523809523809,-10.38961038961,2.985074626865,-74.632352941176
4,Fel. Assault,,4,3.0,33.333333333333,23.0,20,15,92,92,0,3.370786516853,76.923076923076,-18.58407079646
5,Burglary,,1,2.0,-50,9.0,13,-30.76923076923,54,81,-33.333333333333,-21.739130434782,0,-89.370078740157
6,Gr. Larceny,,11,17.0,-35.294117647058,56.0,70,-20,327,303,7.920792079207,18.050541516245,116.556291390728,71.204188481675
7,G.L.A.,,2,9.0,-77.777777777777,19.0,24,-20.833333333333,145,138,5.072463768115,14.173228346456,154.385964912281,-81.897627965043
8,TOTAL,,22,34.0,-35.294117647058,120.0,138,-13.043478260869,692,686,0.874635568513,6.298003072196,77.892030848329,-63.502109704641
9,Transit,,1,0.0,***.*,1.0,1,0,3,6,-50,-25,-70,***.*
10,Housing,,0,1.0,-100,3.0,9,-66.666666666666,29,36,-19.444444444444,-21.621621621621,38.095238095238,***.*
11,Petit Larceny,,30,20.0,50,89.0,85,4.705882352941,482,469,2.77185501066,-0.207039337474,34.261838440111,***.*
12,Retail Theft,,14,11.0,27.272727272727,37.0,40,-7.5,202,198,2.020202020202,-20.158102766798,***.*,***.*
13,Misd. Assault,,2,7.0,-71.428571428571,26.0,24,8.333333333333,142,142,0,-4.054054054054,-16.470588235294,***.*
14,UCR Rape*,,1,0.0,***.*,2.0,1,100,10,13,-23.076923076923,-28.571428571428,***.*,***.*
15,Other Sex Crimes,,3,0.0,***.*,6.0,1,500,30,10,200,100,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,1.0,1,0,2,2,0,-60,-33.333333333333,-50
17,Shooting Inc.,,0,0.0,***.*,1.0,1,0,2,2,0,-60,-33.333333333333,-50
18,Hate Crimes,,0,0.0,***.*,0.0,1,-100,1,2,-50,-83.333333333333,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,-100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,14,,11,,3,,8,5,-37.5,66.666666666666,-54.545454545454,-64.285714285714
27,Rape,,36,,24,,22,,21,8,-61.904761904761,-63.636363636363,-66.666666666666,-77.777777777777
28,Robbery,,649,,622,,292,,199,163,-18.090452261306,-44.17808219178,-73.794212218649,-74.884437596302
29,Fel. Assault,,230,,271,,146,,147,197,34.013605442176,34.931506849315,-27.30627306273,-14.347826086956
30,Burglary,,1219,,1151,,599,,357,141,-60.504201680672,-76.460767946577,-87.749782797567,-88.433141919606
31,Gr. Larceny,,527,,457,,306,,295,696,135.932203389831,127.450980392157,52.297592997811,32.068311195445
32,G.L.A.,,2408,,1786,,917,,458,354,-22.707423580786,-61.395856052344,-80.179171332586,-85.299003322259
33,TOTAL,,5083,,4322,,2285,,1485,1564,5.319865319865,-31.553610503282,-63.813049514113,-69.230769230769
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
