,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,0,-66.666666666666,-88.888888888888
2,Rape,,0,0.0,***.*,1.0,3,-66.666666666666,4,5,-20,-50,-55.555555555555,-73.333333333333
3,Robbery,,3,1.0,200,18.0,3,500,87,51,70.588235294117,35.9375,85.106382978723,-84.324324324324
4,Fel. Assault,,6,5.0,20,23.0,18,27.777777777777,116,89,30.337078651685,50.64935064935,87.096774193548,-46.046511627907
5,Burglary,,5,2.0,150,19.0,11,72.727272727272,88,63,39.682539682539,-16.981132075471,8.641975308641,-90.557939914163
6,Gr. Larceny,,25,41.0,-39.024390243902,132.0,147,-10.204081632653,765,805,-4.968944099378,-2.048655569782,13.501483679525,-75.04892367906
7,G.L.A.,,1,1.0,0,4.0,4,0,19,31,-38.709677419354,-53.658536585365,-5,-91.162790697674
8,TOTAL,,40,50.0,-20,197.0,186,5.913978494623,1080,1044,3.448275862068,0.185528756957,20.535714285714,-78.430197723187
9,Transit,,1,1.0,0,7.0,6,16.666666666666,40,32,25,53.846153846153,73.91304347826,***.*
10,Housing,,0,0.0,***.*,0.0,0,***.*,1,2,-50,0,0,***.*
11,Petit Larceny,,73,68.0,7.35294117647,289.0,251,15.139442231075,1280,1147,11.595466434176,31.282051282051,64.313222079589,***.*
12,Retail Theft,,57,59.0,-3.389830508474,244.0,249,-2.008032128514,1241,1175,5.617021276595,17.518939393939,***.*,***.*
13,Misd. Assault,,13,21.0,-38.095238095238,69.0,60,15,300,298,0.671140939597,31.004366812227,36.986301369863,***.*
14,UCR Rape*,,0,0.0,***.*,2.0,4,-50,8,13,-38.461538461538,-50,***.*,***.*
15,Other Sex Crimes,,4,2.0,100,9.0,11,-18.181818181818,37,37,0,-9.756097560975,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,0.0,0,***.*,3,4,-25,-40,200,50
17,Shooting Inc.,,0,0.0,***.*,0.0,0,***.*,2,3,-33.333333333333,-60,100,0
18,Hate Crimes,,1,0.0,***.*,1.0,2,-50,6,12,-50,-33.333333333333,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,1,0.0,***.*,1.0,0,***.*,1,0,***.*,0,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,16,,11,,3,,5,3,-40,0,-72.727272727272,-81.25
27,Rape,,18,,26,,22,,17,9,-47.058823529411,-59.090909090909,-65.384615384615,-50
28,Robbery,,2135,,1388,,595,,394,137,-65.228426395939,-76.974789915966,-90.129682997118,-93.583138173302
29,Fel. Assault,,389,,496,,343,,251,184,-26.693227091633,-46.355685131195,-62.903225806451,-52.699228791773
30,Burglary,,2912,,2161,,993,,462,130,-71.861471861471,-86.908358509567,-93.984266543267,-95.535714285714
31,Gr. Larceny,,8903,,7683,,4242,,3966,1979,-50.100857286939,-53.347477604903,-74.241832617467,-77.771537683926
32,G.L.A.,,1012,,511,,331,,201,83,-58.706467661691,-74.924471299093,-83.757338551859,-91.798418972332
33,TOTAL,,15385,,12276,,6529,,5296,2525,-52.32250755287,-61.326389952519,-79.431410883023,-83.587910302242
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
