,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,8,7,14.285714285714,-11.111111111111,14.285714285714,-50
2,Rape,,1,1.0,0,3.0,5,-40,15,18,-16.666666666666,7.142857142857,-6.25,-64.285714285714
3,Robbery,,7,4.0,75,27.0,17,58.823529411764,135,112,20.535714285714,-14.556962025316,-25.414364640884,-87.167300380228
4,Fel. Assault,,16,13.0,23.076923076923,70.0,49,42.857142857142,340,290,17.241379310344,29.277566539924,73.469387755102,-32.539682539682
5,Burglary,,0,7.0,-100,13.0,20,-35,92,97,-5.154639175257,2.222222222222,-47.428571428571,-89.732142857142
6,Gr. Larceny,,10,15.0,-33.333333333333,39.0,44,-11.363636363636,256,304,-15.78947368421,-17.948717948717,8.01687763713,-21.472392638036
7,G.L.A.,,4,5.0,-20,18.0,18,0,89,112,-20.535714285714,-29.365079365079,-29.921259842519,-90.460878885316
8,TOTAL,,38,45.0,-15.555555555555,170.0,153,11.111111111111,935,940,-0.531914893617,-3.806584362139,-0.425985090521,-75.192358715839
9,Transit,,0,0.0,***.*,0.0,0,***.*,4,4,0,-50,300,***.*
10,Housing,,0,0.0,***.*,0.0,2,-100,2,3,-33.333333333333,-60,***.*,***.*
11,Petit Larceny,,41,13.0,215.384615384615,98.0,67,46.268656716417,561,538,4.275092936802,35.507246376811,34.855769230769,***.*
12,Retail Theft,,3,1.0,200,12.0,10,20,78,110,-29.090909090909,-3.703703703703,***.*,***.*
13,Misd. Assault,,21,19.0,10.526315789473,77.0,55,40,398,333,19.519519519519,29.641693811074,2.313624678663,***.*
14,UCR Rape*,,1,1.0,0,3.0,6,-50,22,22,0,4.761904761904,***.*,***.*
15,Other Sex Crimes,,0,3.0,-100,3.0,7,-57.142857142857,32,35,-8.571428571428,-13.513513513513,***.*,***.*
16,Shooting Vic.,,3,1.0,200,5.0,1,400,15,21,-28.571428571428,-25,-40,-80.51948051948
17,Shooting Inc.,,3,1.0,200,5.0,1,400,14,17,-17.647058823529,-6.666666666666,-33.333333333333,-81.081081081081
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,5,0,***.*,400,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,2,0,***.*,100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,54,,55,,25,,21,17,-19.047619047619,-32,-69.090909090909,-68.518518518518
27,Rape,,91,,101,,82,,58,41,-29.310344827586,-50,-59.405940594059,-54.945054945054
28,Robbery,,2158,,2377,,913,,669,255,-61.883408071748,-72.070098576122,-89.272191838451,-88.183503243744
29,Fel. Assault,,975,,1234,,974,,735,655,-10.884353741496,-32.751540041067,-46.920583468395,-32.820512820512
30,Burglary,,2607,,2127,,1141,,827,192,-76.783555018137,-83.172655565293,-90.973201692524,-92.635212888377
31,Gr. Larceny,,699,,781,,527,,611,664,8.674304418985,25.996204933586,-14.980793854033,-5.007153075822
32,G.L.A.,,2418,,2042,,692,,702,209,-70.22792022792,-69.797687861271,-89.764936336924,-91.356492969396
33,TOTAL,,9002,,8717,,4354,,3623,2033,-43.886282086668,-53.307303628847,-76.677756108753,-77.416129748944
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
