,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,1.0,-100,0.0,1,-100,4,3,33.333333333333,33.333333333333,300,-75
2,Rape,,0,0.0,***.*,1.0,1,0,12,9,33.333333333333,200,140,-69.230769230769
3,Robbery,,0,1.0,-100,5.0,13,-61.538461538461,35,56,-37.5,-56.25,-70.588235294117,-95.28936742934
4,Fel. Assault,,5,7.0,-28.571428571428,24.0,28,-14.285714285714,113,141,-19.858156028368,-20.422535211267,-10.31746031746,-71.75
5,Burglary,,1,3.0,-66.666666666666,4.0,9,-55.555555555555,29,32,-9.375,-45.283018867924,-76.8,-96.484848484848
6,Gr. Larceny,,3,14.0,-78.571428571428,16.0,32,-50,105,202,-48.019801980198,-32.692307692307,-37.5,-59.615384615384
7,G.L.A.,,0,2.0,-100,6.0,7,-14.285714285714,31,44,-29.545454545454,-50.79365079365,-55.072463768115,-94.727891156462
8,TOTAL,,9,28.0,-67.857142857142,56.0,91,-38.461538461538,329,487,-32.443531827515,-34.331337325349,-46.329526916802,-88.54057819575
9,Transit,,1,1.0,0,2.0,3,-33.333333333333,5,10,-50,-44.444444444444,-75,***.*
10,Housing,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,***.*,-50,***.*
11,Petit Larceny,,10,21.0,-52.380952380952,48.0,74,-35.135135135135,387,486,-20.37037037037,-16.052060737527,-5.839416058394,***.*
12,Retail Theft,,1,4.0,-75,10.0,13,-23.076923076923,71,96,-26.041666666666,5.970149253731,***.*,***.*
13,Misd. Assault,,6,9.0,-33.333333333333,45.0,39,15.384615384615,232,220,5.454545454545,-13.432835820895,-33.903133903133,***.*
14,UCR Rape*,,0,0.0,***.*,1.0,1,0,14,10,40,40,***.*,***.*
15,Other Sex Crimes,,1,2.0,-50,2.0,4,-50,28,20,40,-15.151515151515,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,0.0,2,-100,5,6,-16.666666666666,-44.444444444444,-61.538461538461,-91.228070175438
17,Shooting Inc.,,0,0.0,***.*,0.0,1,-100,5,5,0,-37.5,-50,-91.071428571428
18,Hate Crimes,,0,0.0,***.*,1.0,2,-50,2,5,-60,-75,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,1,-100,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,36,,37,,15,,14,5,-64.285714285714,-66.666666666666,-86.486486486486,-86.111111111111
27,Rape,,86,,73,,52,,38,18,-52.631578947368,-65.384615384615,-75.342465753424,-79.06976744186
28,Robbery,,1708,,1690,,878,,603,129,-78.606965174129,-85.307517084282,-92.366863905325,-92.447306791569
29,Fel. Assault,,860,,926,,707,,490,359,-26.734693877551,-49.222065063649,-61.231101511879,-58.255813953488
30,Burglary,,2099,,1873,,899,,511,80,-84.344422700587,-91.101223581757,-95.72877736252,-96.18866126727
31,Gr. Larceny,,741,,689,,602,,514,407,-20.817120622568,-32.392026578073,-40.928882438316,-45.074224021592
32,G.L.A.,,1533,,1383,,431,,481,99,-79.417879417879,-77.030162412993,-92.841648590021,-93.542074363992
33,TOTAL,,7063,,6671,,3584,,2651,1097,-58.619388909845,-69.391741071428,-83.555688802278,-84.468356222568
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
