,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,0,3,-100,-100,-100,-100
2,Rape,,0,0.0,***.*,1.0,1,0,6,4,50,50,500,-50
3,Robbery,,2,2.0,0,7.0,8,-12.5,62,67,-7.462686567164,-12.676056338028,-44.642857142857,-86.283185840708
4,Fel. Assault,,14,6.0,133.333333333333,35.0,27,29.629629629629,155,152,1.973684210526,17.424242424242,106.666666666667,-49.838187702265
5,Burglary,,2,1.0,100,6.0,7,-14.285714285714,38,42,-9.523809523809,-25.490196078431,-36.666666666666,-91.574279379157
6,Gr. Larceny,,7,4.0,75,18.0,22,-18.181818181818,138,208,-33.653846153846,-27.368421052631,-30.653266331658,-43.442622950819
7,G.L.A.,,1,3.0,-66.666666666666,10.0,7,42.857142857142,48,38,26.315789473684,-2.04081632653,4.347826086956,-89.519650655021
8,TOTAL,,26,16.0,62.5,77.0,72,6.944444444444,447,514,-13.035019455252,-10.240963855421,-9.696969696969,-76.911157024793
9,Transit,,2,0.0,***.*,5.0,2,150,13,7,85.714285714285,18.181818181818,-27.777777777777,***.*
10,Housing,,4,4.0,0,12.0,12,0,64,63,1.587301587301,-3.030303030303,60,***.*
11,Petit Larceny,,27,21.0,28.571428571428,83.0,73,13.698630136986,415,452,-8.185840707964,-20.192307692307,-3.712296983758,***.*
12,Retail Theft,,8,9.0,-11.111111111111,26.0,25,4,119,159,-25.157232704402,-48.706896551724,***.*,***.*
13,Misd. Assault,,21,13.0,61.538461538461,53.0,48,10.416666666666,312,245,27.34693877551,42.465753424657,56.78391959799,***.*
14,UCR Rape*,,1,0.0,***.*,2.0,1,100,13,7,85.714285714285,44.444444444444,***.*,***.*
15,Other Sex Crimes,,1,1.0,0,8.0,3,166.666666666667,23,25,-8,9.523809523809,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,0.0,0,***.*,1,4,-75,-90,-85.714285714285,-96.774193548387
17,Shooting Inc.,,0,0.0,***.*,0.0,0,***.*,1,1,0,-88.888888888888,-75,-96
18,Hate Crimes,,0,0.0,***.*,1.0,1,0,1,7,-85.714285714285,-75,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,1,1,0,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,21,,20,,16,,11,6,-45.454545454545,-62.5,-70,-71.428571428571
27,Rape,,52,,42,,45,,27,11,-59.259259259259,-75.555555555555,-73.809523809523,-78.846153846153
28,Robbery,,1368,,1074,,554,,462,173,-62.554112554112,-68.772563176895,-83.89199255121,-87.35380116959
29,Fel. Assault,,791,,735,,572,,312,370,18.589743589743,-35.314685314685,-49.659863945578,-53.223767383059
30,Burglary,,1078,,993,,481,,302,111,-63.245033112582,-76.923076923076,-88.821752265861,-89.703153988868
31,Gr. Larceny,,803,,691,,605,,436,466,6.880733944954,-22.97520661157,-32.561505065123,-41.967621419676
32,G.L.A.,,2033,,1174,,493,,262,118,-54.961832061068,-76.064908722109,-89.948892674616,-94.195769798327
33,TOTAL,,6146,,4729,,2766,,1812,1255,-30.739514348785,-54.627621113521,-73.461619792768,-79.580214773836
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
