,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,1,1,0,-75,-87.5,-90.90909090909
2,Rape,,1,0.0,***.*,1.0,2,-50,7,12,-41.666666666666,-36.363636363636,-46.153846153846,-82.051282051282
3,Robbery,,1,1.0,0,5.0,10,-50,51,83,-38.554216867469,-25,-59.2,-90.267175572519
4,Fel. Assault,,8,6.0,33.333333333333,36.0,33,9.090909090909,140,137,2.189781021897,-1.408450704225,9.375,-60.227272727272
5,Burglary,,2,5.0,-60,5.0,12,-58.333333333333,42,76,-44.736842105263,-56.701030927835,-50,-86.792452830188
6,Gr. Larceny,,6,9.0,-33.333333333333,22.0,25,-12,118,146,-19.17808219178,-32.183908045977,7.272727272727,-13.235294117647
7,G.L.A.,,0,1.0,-100,6.0,5,20,41,42,-2.380952380952,-36.923076923076,-2.380952380952,-85.357142857142
8,TOTAL,,18,22.0,-18.181818181818,75.0,87,-13.793103448275,400,497,-19.517102615694,-28.698752228164,-21.56862745098,-75.903614457831
9,Transit,,0,0.0,***.*,2.0,2,0,6,9,-33.333333333333,0,-45.454545454545,***.*
10,Housing,,1,2.0,-50,6.0,8,-25,42,38,10.526315789473,35.483870967741,16.666666666666,***.*
11,Petit Larceny,,13,21.0,-38.095238095238,39.0,60,-35,300,362,-17.127071823204,-3.536977491961,1.010101010101,***.*
12,Retail Theft,,1,3.0,-66.666666666666,3.0,10,-70,45,115,-60.869565217391,-47.674418604651,***.*,***.*
13,Misd. Assault,,10,11.0,-9.090909090909,34.0,45,-24.444444444444,180,205,-12.195121951219,2.272727272727,-46.587537091988,***.*
14,UCR Rape*,,1,0.0,***.*,1.0,2,-50,10,17,-41.176470588235,-37.5,***.*,***.*
15,Other Sex Crimes,,0,1.0,-100,4.0,1,300,20,9,122.222222222222,42.857142857142,***.*,***.*
16,Shooting Vic.,,1,0.0,***.*,3.0,0,***.*,7,6,16.666666666666,-50,-68.181818181818,-92.222222222222
17,Shooting Inc.,,1,0.0,***.*,3.0,0,***.*,6,5,20,-53.846153846153,-64.705882352941,-92.592592592592
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,0,1,-100,-100,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,49,,26,,10,,18,6,-66.666666666666,-40,-76.923076923076,-87.755102040816
27,Rape,,51,,79,,29,,31,19,-38.709677419354,-34.482758620689,-75.949367088607,-62.745098039215
28,Robbery,,1444,,1229,,584,,410,152,-62.926829268292,-73.972602739726,-87.632221318144,-89.473684210526
29,Fel. Assault,,902,,850,,547,,421,305,-27.553444180522,-44.241316270566,-64.117647058823,-66.186252771618
30,Burglary,,981,,863,,448,,377,141,-62.599469496021,-68.526785714285,-83.661645422943,-85.626911314984
31,Gr. Larceny,,472,,386,,219,,226,335,48.230088495575,52.96803652968,-13.21243523316,-29.025423728813
32,G.L.A.,,691,,588,,154,,197,106,-46.192893401015,-31.168831168831,-81.972789115646,-84.659913169319
33,TOTAL,,4590,,4021,,1991,,1680,1064,-36.666666666666,-46.559517830236,-73.5389206665,-76.819172113289
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
