,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,1,2,-50,***.*,-66.666666666666,-93.75
2,Rape,,0,0.0,***.*,1.0,0,***.*,2,1,100,-50,-50,-85.714285714285
3,Robbery,,1,5.0,-80,9.0,10,-10,41,43,-4.651162790697,-4.651162790697,-54.945054945054,-91.106290672451
4,Fel. Assault,,4,3.0,33.333333333333,13.0,12,8.333333333333,76,74,2.702702702702,0,55.102040816326,-63.461538461538
5,Burglary,,4,2.0,100,13.0,4,225,52,39,33.333333333333,-3.703703703703,-8.771929824561,-85.515320334261
6,Gr. Larceny,,4,3.0,33.333333333333,25.0,16,56.25,108,130,-16.923076923076,-15.625,-41.935483870967,-48.815165876777
7,G.L.A.,,1,2.0,-50,4.0,6,-33.333333333333,57,30,90,67.647058823529,26.666666666666,-82.407407407407
8,TOTAL,,14,15.0,-6.666666666666,65.0,48,35.416666666666,337,319,5.64263322884,-0.589970501474,-22.528735632183,-78.844946641556
9,Transit,,0,0.0,***.*,0.0,1,-100,5,6,-16.666666666666,400,-77.272727272727,***.*
10,Housing,,4,3.0,33.333333333333,11.0,9,22.222222222222,46,44,4.545454545454,17.948717948717,2.222222222222,***.*
11,Petit Larceny,,12,18.0,-33.333333333333,45.0,61,-26.229508196721,251,304,-17.434210526315,-11.307420494699,-42.69406392694,***.*
12,Retail Theft,,2,4.0,-50,7.0,15,-53.333333333333,68,76,-10.526315789473,3.030303030303,***.*,***.*
13,Misd. Assault,,7,9.0,-22.222222222222,34.0,28,21.428571428571,165,147,12.244897959183,5.76923076923,23.134328358209,***.*
14,UCR Rape*,,0,0.0,***.*,1.0,1,0,2,3,-33.333333333333,-71.428571428571,***.*,***.*
15,Other Sex Crimes,,0,1.0,-100,5.0,2,150,15,20,-25,25,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,2.0,1,100,2,6,-66.666666666666,-33.333333333333,-77.777777777777,-96.153846153846
17,Shooting Inc.,,0,0.0,***.*,1.0,1,0,1,5,-80,-66.666666666666,-87.5,-97.674418604651
18,Hate Crimes,,0,0.0,***.*,0.0,1,-100,0,4,-100,-100,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,19,,25,,10,,11,3,-72.727272727272,-70,-88,-84.210526315789
27,Rape,,54,,32,,18,,16,11,-31.25,-38.888888888888,-65.625,-79.629629629629
28,Robbery,,1536,,1188,,399,,419,103,-75.417661097852,-74.185463659147,-91.329966329966,-93.294270833333
29,Fel. Assault,,639,,479,,188,,209,179,-14.354066985645,-4.787234042553,-62.630480167014,-71.987480438184
30,Burglary,,1029,,1099,,229,,232,105,-54.741379310344,-54.14847161572,-90.445859872611,-89.795918367346
31,Gr. Larceny,,611,,544,,207,,331,314,-5.135951661631,51.690821256038,-42.279411764705,-48.60883797054
32,G.L.A.,,1053,,748,,310,,319,104,-67.398119122257,-66.451612903225,-86.096256684492,-90.123456790123
33,TOTAL,,4941,,4115,,1361,,1537,819,-46.714378659726,-39.82365907421,-80.097205346294,-83.424408014572
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
