,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,2.0,1,100,13,4,225,85.714285714285,30,-51.851851851851
2,Rape,,1,2.0,-50,1.0,4,-75,12,17,-29.411764705882,-7.692307692307,-20,-72.727272727272
3,Robbery,,1,4.0,-75,16.0,20,-20,111,114,-2.631578947368,-21.830985915493,-39.673913043478,-88.9662027833
4,Fel. Assault,,16,16.0,0,59.0,78,-24.358974358974,292,325,-10.153846153846,1.388888888888,12.307692307692,-39.544513457556
5,Burglary,,2,3.0,-33.333333333333,15.0,6,150,64,61,4.918032786885,-23.809523809523,-52.592592592592,-82.8418230563
6,Gr. Larceny,,5,6.0,-16.666666666666,23.0,21,9.523809523809,158,149,6.040268456375,-12.222222222222,-7.058823529411,-56.830601092896
7,G.L.A.,,3,4.0,-25,10.0,16,-37.5,64,57,12.280701754386,-29.670329670329,-9.859154929577,-76.556776556776
8,TOTAL,,28,35.0,-20,126.0,146,-13.698630136986,714,727,-1.788170563961,-11.304347826087,-15.502958579881,-72.239502332814
9,Transit,,0,0.0,***.*,4.0,2,100,30,21,42.857142857142,0,20,***.*
10,Housing,,9,8.0,12.5,33.0,34,-2.941176470588,167,158,5.696202531645,4.375,75.78947368421,***.*
11,Petit Larceny,,20,19.0,5.263157894736,81.0,67,20.895522388059,520,505,2.970297029702,6.55737704918,28.395061728395,***.*
12,Retail Theft,,2,4.0,-50,22.0,20,10,137,142,-3.521126760563,4.580152671755,***.*,***.*
13,Misd. Assault,,27,18.0,50,85.0,64,32.8125,379,407,-6.879606879606,-14.058956916099,-35.544217687074,***.*
14,UCR Rape*,,1,2.0,-50,1.0,4,-75,17,20,-15,-26.086956521739,***.*,***.*
15,Other Sex Crimes,,1,5.0,-80,9.0,12,-25,30,44,-31.818181818181,-14.285714285714,***.*,***.*
16,Shooting Vic.,,6,0.0,***.*,11.0,4,175,35,17,105.882352941176,16.666666666666,-20.454545454545,-74.63768115942
17,Shooting Inc.,,4,0.0,***.*,8.0,4,100,29,16,81.25,16,-12.121212121212,-77.34375
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,0,1,-100,***.*,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,1.0,0,***.*,1,0,***.*,-50,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,60,,74,,26,,26,7,-73.076923076923,-73.076923076923,-90.54054054054,-88.333333333333
27,Rape,,113,,88,,74,,54,35,-35.185185185185,-52.702702702702,-60.227272727272,-69.026548672566
28,Robbery,,2914,,2252,,879,,625,278,-55.52,-68.373151308304,-87.655417406749,-90.459849004804
29,Fel. Assault,,1519,,1143,,816,,665,686,3.157894736842,-15.931372549019,-39.982502187226,-54.838709677419
30,Burglary,,1313,,789,,501,,522,126,-75.862068965517,-74.850299401197,-84.03041825095,-90.40365575019
31,Gr. Larceny,,1293,,949,,418,,409,339,-17.114914425427,-18.8995215311,-64.278187565858,-73.781902552204
32,G.L.A.,,1031,,713,,309,,296,149,-49.662162162162,-51.77993527508,-79.102384291725,-85.548011639185
33,TOTAL,,8243,,6008,,3023,,2597,1620,-37.620331151328,-46.410850148858,-73.035952063914,-80.346961057867
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
