,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,3,3,0,-40,50,-85.714285714285
2,Rape,,0,1.0,-100,2.0,3,-33.333333333333,8,15,-46.666666666666,-20,-38.461538461538,-78.378378378378
3,Robbery,,5,11.0,-54.545454545454,23.0,29,-20.689655172413,101,90,12.222222222222,2.020202020202,-20.472440944881,-72.479564032697
4,Fel. Assault,,7,16.0,-56.25,34.0,44,-22.727272727272,216,205,5.365853658536,-8.085106382978,71.428571428571,-46.134663341645
5,Burglary,,3,2.0,50,7.0,19,-63.157894736842,59,81,-27.16049382716,-43.26923076923,28.260869565217,-86.052009456264
6,Gr. Larceny,,7,15.0,-53.333333333333,35.0,51,-31.372549019607,153,171,-10.526315789473,4.081632653061,15.90909090909,-5.555555555555
7,G.L.A.,,2,2.0,0,6.0,6,0,42,35,20,5,82.608695652173,-66.129032258064
8,TOTAL,,24,47.0,-48.936170212766,107.0,152,-29.605263157894,582,600,-3,-9.0625,24.09381663113,-62.084690553745
9,Transit,,0,1.0,-100,0.0,1,-100,5,7,-28.571428571428,-54.545454545454,25,***.*
10,Housing,,3,4.0,-25,17.0,18,-5.555555555555,117,97,20.61855670103,32.954545454545,60.273972602739,***.*
11,Petit Larceny,,30,18.0,66.666666666666,90.0,65,38.461538461538,394,351,12.250712250712,-2.233250620347,37.762237762237,***.*
12,Retail Theft,,2,4.0,-50,11.0,12,-8.333333333333,76,80,-5,-36.666666666666,***.*,***.*
13,Misd. Assault,,25,16.0,56.25,73.0,58,25.862068965517,301,270,11.481481481481,15.76923076923,-20.159151193634,***.*
14,UCR Rape*,,0,2.0,-100,2.0,5,-60,11,22,-50,-42.105263157894,***.*,***.*
15,Other Sex Crimes,,2,1.0,100,8.0,3,166.666666666667,25,23,8.695652173913,-34.210526315789,***.*,***.*
16,Shooting Vic.,,2,1.0,100,2.0,2,0,11,12,-8.333333333333,-42.105263157894,-26.666666666666,-76.595744680851
17,Shooting Inc.,,2,1.0,100,2.0,2,0,8,10,-20,-50,-27.272727272727,-81.395348837209
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,3,1,200,200,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,1,1,0,0,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,66,,56,,6,,22,11,-50,83.333333333333,-80.357142857142,-83.333333333333
27,Rape,,83,,89,,42,,33,29,-12.121212121212,-30.952380952381,-67.415730337078,-65.060240963855
28,Robbery,,1013,,958,,568,,435,226,-48.045977011494,-60.211267605633,-76.409185803757,-77.690029615004
29,Fel. Assault,,1070,,968,,666,,474,450,-5.06329113924,-32.432432432432,-53.512396694214,-57.943925233644
30,Burglary,,1248,,974,,388,,243,174,-28.395061728395,-55.154639175257,-82.135523613963,-86.057692307692
31,Gr. Larceny,,499,,432,,264,,207,443,114.009661835749,67.80303030303,2.546296296296,-11.222444889779
32,G.L.A.,,490,,258,,138,,148,141,-4.729729729729,2.173913043478,-45.348837209302,-71.224489795918
33,TOTAL,,4469,,3735,,2072,,1562,1474,-5.633802816901,-28.861003861003,-60.53547523427,-67.017229805325
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
