,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,2.0,0,***.*,2,3,-33.333333333333,-60,-66.666666666666,-91.304347826087
2,Rape,,1,0.0,***.*,2.0,0,***.*,11,12,-8.333333333333,-26.666666666666,0,-65.625
3,Robbery,,2,1.0,100,8.0,12,-33.333333333333,82,85,-3.529411764705,5.128205128205,-48.101265822784,-90.628571428571
4,Fel. Assault,,10,10.0,0,30.0,39,-23.076923076923,186,181,2.762430939226,-4.615384615384,0,-61.806981519507
5,Burglary,,3,5.0,-40,16.0,17,-5.882352941176,84,94,-10.63829787234,-11.578947368421,-55.31914893617,-84.615384615384
6,Gr. Larceny,,9,9.0,0,25.0,30,-16.666666666666,157,184,-14.673913043478,-3.680981595092,-11.299435028248,-53.134328358209
7,G.L.A.,,2,1.0,100,11.0,8,37.5,38,54,-29.629629629629,-7.317073170731,-30.90909090909,-84.860557768924
8,TOTAL,,27,26.0,3.846153846153,94.0,106,-11.320754716981,560,613,-8.646003262642,-5.405405405405,-28.297055057618,-78.030600235386
9,Transit,,0,0.0,***.*,0.0,0,***.*,5,6,-16.666666666666,-58.333333333333,-70.588235294117,***.*
10,Housing,,3,9.0,-66.666666666666,10.0,20,-50,111,109,1.834862385321,12.121212121212,16.842105263157,***.*
11,Petit Larceny,,28,39.0,-28.205128205128,128.0,114,12.280701754386,574,656,-12.5,-13.554216867469,43.5,***.*
12,Retail Theft,,8,17.0,-52.941176470588,45.0,46,-2.173913043478,223,256,-12.890625,-22.569444444444,***.*,***.*
13,Misd. Assault,,15,15.0,0,52.0,57,-8.771929824561,284,287,-1.045296167247,-8.387096774193,-27.179487179487,***.*
14,UCR Rape*,,2,0.0,***.*,3.0,1,200,16,20,-20,-23.809523809523,***.*,***.*
15,Other Sex Crimes,,1,1.0,0,6.0,3,100,24,16,50,33.333333333333,***.*,***.*
16,Shooting Vic.,,0,1.0,-100,2.0,3,-33.333333333333,12,9,33.333333333333,-33.333333333333,-50,-90.322580645161
17,Shooting Inc.,,0,1.0,-100,2.0,3,-33.333333333333,10,8,25,-16.666666666666,-44.444444444444,-90.47619047619
18,Hate Crimes,,0,0.0,***.*,2.0,0,***.*,5,2,150,-28.571428571428,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,1,-100,-100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,71,,55,,17,,25,10,-60,-41.176470588235,-81.818181818181,-85.915492957746
27,Rape,,98,,76,,67,,42,23,-45.238095238095,-65.671641791044,-69.736842105263,-76.530612244898
28,Robbery,,2442,,2086,,838,,636,215,-66.194968553459,-74.343675417661,-89.693192713326,-91.195741195741
29,Fel. Assault,,1349,,1131,,716,,599,406,-32.220367278798,-43.296089385474,-64.102564102564,-69.903632320237
30,Burglary,,1706,,1268,,555,,449,230,-48.775055679287,-58.558558558558,-81.86119873817,-86.518171160609
31,Gr. Larceny,,867,,858,,354,,288,434,50.694444444444,22.598870056497,-49.417249417249,-49.942329873125
32,G.L.A.,,744,,558,,224,,332,134,-59.638554216867,-40.178571428571,-75.985663082437,-81.989247311828
33,TOTAL,,7277,,6032,,2771,,2371,1452,-38.760016870518,-47.600144352219,-75.928381962864,-80.046722550501
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
