,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,1,0.0,***.*,1.0,0,***.*,3,2,50,0,-40,-40
2,Rape,,0,1.0,-100,2.0,3,-33.333333333333,15,12,25,150,50,25
3,Robbery,,3,5.0,-40,15.0,28,-46.428571428571,114,110,3.636363636363,14,-0.869565217391,-64.263322884012
4,Fel. Assault,,7,10.0,-30,35.0,31,12.903225806451,191,173,10.404624277456,31.724137931034,83.653846153846,49.21875
5,Burglary,,2,3.0,-33.333333333333,16.0,21,-23.809523809523,83,104,-20.192307692307,38.333333333333,-44.295302013422,-87.794117647058
6,Gr. Larceny,,17,16.0,6.25,60.0,59,1.694915254237,400,279,43.36917562724,44.404332129963,139.520958083832,60
7,G.L.A.,,12,10.0,20,30.0,44,-31.818181818181,193,225,-14.222222222222,28.666666666666,85.576923076923,-76.348039215686
8,TOTAL,,42,45.0,-6.666666666666,159.0,186,-14.516129032258,999,905,10.386740331491,34.817813765182,52.752293577981,-54.796380090497
9,Transit,,0,0.0,***.*,0.0,1,-100,9,8,12.5,28.571428571428,-18.181818181818,***.*
10,Housing,,1,2.0,-50,7.0,9,-22.222222222222,51,59,-13.559322033898,15.90909090909,112.5,***.*
11,Petit Larceny,,23,37.0,-37.837837837837,103.0,142,-27.464788732394,634,687,-7.714701601164,12.611012433392,64.675324675324,***.*
12,Retail Theft,,7,14.0,-50,36.0,57,-36.842105263157,261,285,-8.421052631578,18.099547511312,***.*,***.*
13,Misd. Assault,,14,9.0,55.555555555555,63.0,39,61.538461538461,244,244,0,5.627705627705,-11.59420289855,***.*
14,UCR Rape*,,0,1.0,-100,3.0,3,0,18,17,5.882352941176,12.5,***.*,***.*
15,Other Sex Crimes,,0,5.0,-100,2.0,12,-83.333333333333,26,31,-16.129032258064,36.842105263157,***.*,***.*
16,Shooting Vic.,,2,0.0,***.*,2.0,1,100,7,8,-12.5,-63.157894736842,-36.363636363636,-61.111111111111
17,Shooting Inc.,,2,0.0,***.*,2.0,1,100,7,7,0,-50,-22.222222222222,-53.333333333333
18,Hate Crimes,,0,0.0,***.*,1.0,0,***.*,1,1,0,***.*,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,3,3,0,50,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,16,,15,,8,,5,5,0,-37.5,-66.666666666666,-68.75
27,Rape,,34,,36,,30,,22,23,4.545454545454,-23.333333333333,-36.111111111111,-32.35294117647
28,Robbery,,766,,690,,404,,284,284,0,-29.702970297029,-58.840579710144,-62.924281984334
29,Fel. Assault,,363,,346,,264,,227,422,85.90308370044,59.848484848484,21.965317919075,16.25344352617
30,Burglary,,1439,,1511,,655,,576,232,-59.722222222222,-64.580152671755,-84.645929847782,-83.877692842251
31,Gr. Larceny,,686,,581,,405,,397,689,73.551637279597,70.123456790123,18.588640275387,0.437317784256
32,G.L.A.,,2991,,1919,,986,,576,527,-8.506944444444,-46.551724137931,-72.537780093798,-82.380474757606
33,TOTAL,,6295,,5098,,2752,,2087,2182,4.551988500239,-20.712209302325,-57.198901530011,-65.337569499602
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
