,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,1,-100,3,3,0,-25,0,-72.727272727272
2,Rape,,0,0.0,***.*,0.0,0,***.*,6,11,-45.454545454545,-62.5,-33.333333333333,-86.666666666666
3,Robbery,,5,1.0,400,18.0,10,80,68,59,15.254237288135,44.680851063829,-53.424657534246,-85.152838427947
4,Fel. Assault,,3,8.0,-62.5,24.0,28,-14.285714285714,169,148,14.189189189189,-0.588235294117,32.03125,-42.320819112628
5,Burglary,,1,1.0,0,9.0,4,125,38,38,0,-35.593220338983,-76.25,-91.183294663573
6,Gr. Larceny,,2,5.0,-60,12.0,35,-65.714285714285,117,188,-37.765957446808,-37.433155080213,-54.296875,-92.994011976047
7,G.L.A.,,5,3.0,66.666666666666,22.0,17,29.411764705882,95,87,9.19540229885,-15.178571428571,-12.844036697247,-86.750348675034
8,TOTAL,,16,18.0,-11.111111111111,85.0,95,-10.526315789473,496,534,-7.116104868913,-16.638655462184,-38.840937114673,-86.31724137931
9,Transit,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
10,Housing,,0,1.0,-100,0.0,3,-100,4,6,-33.333333333333,33.333333333333,0,***.*
11,Petit Larceny,,14,26.0,-46.153846153846,64.0,77,-16.883116883116,500,505,-0.9900990099,-12.739965095986,16.279069767441,***.*
12,Retail Theft,,3,9.0,-66.666666666666,15.0,19,-21.052631578947,142,132,7.575757575757,-27.551020408163,***.*,***.*
13,Misd. Assault,,18,11.0,63.636363636363,74.0,54,37.037037037037,320,278,15.107913669064,74.863387978142,-10.614525139664,***.*
14,UCR Rape*,,0,0.0,***.*,0.0,2,-100,12,19,-36.842105263157,-45.454545454545,***.*,***.*
15,Other Sex Crimes,,2,0.0,***.*,6.0,4,50,20,26,-23.076923076923,0,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,0.0,6,-100,6,14,-57.142857142857,-33.333333333333,-72.727272727272,-89.285714285714
17,Shooting Inc.,,0,0.0,***.*,0.0,3,-100,6,9,-33.333333333333,-33.333333333333,-66.666666666666,-87.5
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,0,1,-100,-100,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,1,-100,1,3,-66.666666666666,-50,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,37,,39,,10,,10,8,-20,-20,-79.487179487179,-78.378378378378
27,Rape,,66,,78,,66,,48,30,-37.5,-54.545454545454,-61.538461538461,-54.545454545454
28,Robbery,,1247,,1177,,562,,355,140,-60.56338028169,-75.08896797153,-88.105352591333,-88.773055332798
29,Fel. Assault,,760,,758,,488,,401,361,-9.975062344139,-26.024590163934,-52.374670184696,-52.5
30,Burglary,,1587,,1150,,651,,461,86,-81.344902386117,-86.78955453149,-92.521739130434,-94.580970384373
31,Gr. Larceny,,3075,,3982,,1049,,855,376,-56.023391812865,-64.156339370829,-90.557508789553,-87.772357723577
32,G.L.A.,,2448,,1833,,793,,520,233,-55.192307692307,-70.61790668348,-87.288597926895,-90.48202614379
33,TOTAL,,9220,,9017,,3619,,2650,1234,-53.43396226415,-65.902182923459,-86.31473882666,-86.616052060737
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
