,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,0,3,-100,-100,-100,-100
2,Rape,,2,0.0,***.*,4.0,5,-20,16,20,-20,0,100,-23.809523809523
3,Robbery,,8,5.0,60,29.0,24,20.833333333333,145,119,21.848739495798,49.484536082474,16,-82.076637824474
4,Fel. Assault,,20,13.0,53.846153846153,53.0,45,17.777777777777,255,213,19.718309859154,10.869565217391,119.827586206897,-25.219941348973
5,Burglary,,2,3.0,-33.333333333333,14.0,18,-22.222222222222,90,100,-10,-21.052631578947,-57.943925233644,-89.714285714285
6,Gr. Larceny,,18,12.0,50,63.0,56,12.5,410,400,2.5,12.947658402203,44.366197183098,-15.463917525773
7,G.L.A.,,5,3.0,66.666666666666,22.0,32,-31.25,148,148,0,38.317757009345,24.369747899159,-87.573467674223
8,TOTAL,,55,36.0,52.777777777777,185.0,180,2.777777777777,1064,1003,6.081754735792,14.408602150537,22.158438576349,-71.497455129922
9,Transit,,0,2.0,-100,3.0,7,-57.142857142857,12,18,-33.333333333333,71.428571428571,-7.692307692307,***.*
10,Housing,,9,5.0,80,23.0,24,-4.166666666666,100,108,-7.407407407407,4.166666666666,61.290322580645,***.*
11,Petit Larceny,,23,47.0,-51.063829787234,137.0,211,-35.071090047393,960,1041,-7.780979827089,-13.824057450628,50.470219435736,***.*
12,Retail Theft,,11,25.0,-56,68.0,110,-38.181818181818,508,515,-1.35922330097,22.705314009661,***.*,***.*
13,Misd. Assault,,17,16.0,6.25,71.0,86,-17.441860465116,411,375,9.6,-1.909307875894,8.730158730158,***.*
14,UCR Rape*,,2,0.0,***.*,4.0,7,-42.857142857142,23,27,-14.814814814814,4.545454545454,***.*,***.*
15,Other Sex Crimes,,3,2.0,50,10.0,6,66.666666666666,37,41,-9.756097560975,19.354838709677,***.*,***.*
16,Shooting Vic.,,0,1.0,-100,1.0,3,-66.666666666666,4,15,-73.333333333333,-20,-63.636363636363,-75
17,Shooting Inc.,,0,1.0,-100,1.0,3,-66.666666666666,3,14,-78.571428571428,-40,-66.666666666666,-80
18,Hate Crimes,,0,0.0,***.*,3.0,8,-62.5,7,14,-50,***.*,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,1.0,0,***.*,2,3,-33.333333333333,-33.333333333333,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,30,,26,,8,,5,8,60,0,-69.230769230769,-73.333333333333
27,Rape,,42,,45,,33,,33,40,21.212121212121,21.212121212121,-11.111111111111,-4.761904761904
28,Robbery,,1811,,1713,,801,,586,279,-52.389078498293,-65.168539325842,-83.712784588441,-84.594146880176
29,Fel. Assault,,839,,748,,445,,385,509,32.207792207792,14.38202247191,-31.951871657754,-39.332538736591
30,Burglary,,2631,,2345,,1043,,855,224,-73.801169590643,-78.523489932885,-90.447761194029,-91.486126947928
31,Gr. Larceny,,1590,,1129,,783,,744,920,23.655913978494,17.496807151979,-18.511957484499,-42.138364779874
32,G.L.A.,,3586,,2684,,1152,,873,430,-50.744558991981,-62.673611111111,-83.979135618479,-88.008923591745
33,TOTAL,,10529,,8690,,4265,,3481,2410,-30.767020970985,-43.493552168815,-72.266973532796,-77.110836736632
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
