,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,1.0,0,***.*,3,6,-50,0,200,-80
2,Rape,,0,0.0,***.*,3.0,2,50,7,8,-12.5,-30,0,-78.787878787878
3,Robbery,,8,3.0,166.666666666667,30.0,12,150,107,74,44.594594594594,42.666666666666,3.883495145631,-68.343195266272
4,Fel. Assault,,12,16.0,-25,45.0,38,18.421052631578,199,165,20.60606060606,31.788079470198,158.441558441558,-18.775510204081
5,Burglary,,3,0.0,***.*,12.0,11,9.090909090909,79,52,51.923076923076,-1.25,229.166666666667,-53.801169590643
6,Gr. Larceny,,6,9.0,-33.333333333333,29.0,33,-12.121212121212,165,183,-9.83606557377,-16.243654822335,58.653846153846,-38.202247191011
7,G.L.A.,,2,0.0,***.*,6.0,1,500,26,38,-31.578947368421,-35,44.444444444444,-84.33734939759
8,TOTAL,,31,28.0,10.714285714285,126.0,97,29.896907216494,586,526,11.406844106463,5.395683453237,75.449101796407,-52.550607287449
9,Transit,,1,1.0,0,1.0,1,0,4,2,100,100,100,***.*
10,Housing,,10,8.0,25,44.0,33,33.333333333333,175,164,6.70731707317,6.060606060606,84.210526315789,***.*
11,Petit Larceny,,9,16.0,-43.75,48.0,58,-17.241379310344,333,384,-13.28125,-2.346041055718,22.878228782287,***.*
12,Retail Theft,,4,7.0,-42.857142857142,16.0,21,-23.809523809523,74,102,-27.450980392156,-13.953488372093,***.*,***.*
13,Misd. Assault,,18,18.0,0,93.0,57,63.157894736842,351,249,40.963855421686,33.969465648855,12.5,***.*
14,UCR Rape*,,0,1.0,-100,4.0,4,0,12,16,-25,-7.692307692307,***.*,***.*
15,Other Sex Crimes,,6,1.0,500,10.0,6,66.666666666666,29,23,26.086956521739,7.407407407407,***.*,***.*
16,Shooting Vic.,,1,1.0,0,1.0,1,0,4,9,-55.555555555555,-63.636363636363,-73.333333333333,-89.189189189189
17,Shooting Inc.,,1,1.0,0,1.0,1,0,3,8,-62.5,-62.5,-76.923076923076,-91.176470588235
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,-100,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,0,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,31,,27,,15,,9,6,-33.333333333333,-60,-77.777777777777,-80.645161290322
27,Rape,,36,,64,,37,,31,14,-54.838709677419,-62.162162162162,-78.125,-61.111111111111
28,Robbery,,1108,,933,,479,,379,209,-44.85488126649,-56.367432150313,-77.599142550911,-81.137184115523
29,Fel. Assault,,738,,579,,478,,329,424,28.875379939209,-11.297071129707,-26.770293609671,-42.547425474254
30,Burglary,,714,,489,,362,,190,142,-25.263157894736,-60.773480662983,-70.961145194274,-80.112044817927
31,Gr. Larceny,,595,,567,,300,,249,432,73.493975903614,44,-23.809523809523,-27.394957983193
32,G.L.A.,,516,,410,,156,,134,89,-33.582089552238,-42.948717948717,-78.292682926829,-82.751937984496
33,TOTAL,,3738,,3069,,1827,,1321,1316,-0.378501135503,-27.969348659003,-57.119582926034,-64.794007490636
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
